GO,ERZ3455800,ERZ3455810,ERZ3455820,ERZ3455830,ERZ3455840,ERZ3455850,ERZ3455860,ERZ3455870,ERZ3455880,ERZ3455890,ERZ3455900,ERZ3455791,ERZ3455801,ERZ3455811,ERZ3455821,ERZ3455831,ERZ3455841,ERZ3455851,ERZ3455861,ERZ3455871,ERZ3455881,ERZ3455891,ERZ3455792,ERZ3455802,ERZ3455812,ERZ3455822,ERZ3455832,ERZ3455842,ERZ3455852,ERZ3455862,ERZ3455872,ERZ3455882,ERZ3455892,ERZ3455793,ERZ3455803,ERZ3455813,ERZ3455823,ERZ3455833,ERZ3455843,ERZ3455853,ERZ3455863,ERZ3455873,ERZ3455883,ERZ3455893,ERZ3455794,ERZ3455804,ERZ3455814,ERZ3455824,ERZ3455834,ERZ3455844,ERZ3455854,ERZ3455864,ERZ3455874,ERZ3455884,ERZ3455894,ERZ3455795,ERZ3455805,ERZ3455815,ERZ3455825,ERZ3455835,ERZ3455845,ERZ3455855,ERZ3455865,ERZ3455875,ERZ3455885,ERZ3455895,ERZ3455796,ERZ3455806,ERZ3455816,ERZ3455826,ERZ3455836,ERZ3455846,ERZ3455856,ERZ3455866,ERZ3455876,ERZ3455886,ERZ3455896,ERZ3455797,ERZ3455807,ERZ3455817,ERZ3455827,ERZ3455837,ERZ3455847,ERZ3455857,ERZ3455867,ERZ3455877,ERZ3455887,ERZ3455897,ERZ3455798,ERZ3455808,ERZ3455818,ERZ3455828,ERZ3455838,ERZ3455848,ERZ3455858,ERZ3455868,ERZ3455878,ERZ3455888,ERZ3455898,ERZ3455799,ERZ3455809,ERZ3455819,ERZ3455829,ERZ3455839,ERZ3455849,ERZ3455859,ERZ3455869,ERZ3455879,ERZ3455889,ERZ3455899
GO:0016020,3.98231647,4.130719637,4.115909922,4.190863733,3.497344381,4.113073894,3.788239097,3.708760724,3.817300878,3.986906031,4.583527489,3.12515583,3.677606953,3.970625777,3.552424846,4.101162582,3.741781696,4.024198232,4.643294722,4.177853809,3.911530462,4.233732009,3.41564098,3.950267468,2.810904281,3.515211304,4.229758611,4.06803736,4.039572737,3.345177617,4.278319089,4.1532049,3.703377369,3.533136288,4.046612209,2.716003344,3.916295995,3.292256071,3.951920074,4.112370366,4.074852996,3.964212473,3.657342737,4.392098727,3.525563058,3.276691529,3.926856709,3.902492421,4.289499766,4.291435455,4.11994836,4.219060332,3.811105607,2.648360011,4.066475014,3.858897957,3.731266349,3.60075515,3.33243846,4.401279887,4.22762965,3.440909082,4.071440127,3.595165415,4.349452376,4.142983555,3.69565676,4.401762302,4.232029938,3.526339277,3.613947477,4.370772072,4.348655273,4.606424362,3.831293744,4.137512353,4.211547681,3.972156536,4.377215156,3.292034436,3.770041554,3.693199145,4.495058433,4.428183406,3.721480855,4.192177026,4.055989583,4.19576132,4.04987672,4.230551096,2.716837723,3.946157395,3.795671506,3.893650817,4.337219584,4.014310481,3.993568483,3.783403281,4.488987611,4.14351442,4.095204233,4.13020507,4.348129552,3.941213188,3.839603729,4.326458757,3.521661015,2.883661435,3.786325434,4.438209974
GO:0016021,3.890923771,4.024321442,3.986323777,4.064682566,3.392696953,4.007491733,3.706717782,3.623042434,3.67614468,3.877486528,4.425974161,3.026533265,3.577376892,3.851319513,3.434249452,3.969788537,3.638089722,3.911690159,4.5257443,4.107277823,3.777426822,4.10768472,3.341434525,3.855942946,2.662757832,3.394626764,4.09565744,3.976212377,3.934346927,3.24723655,4.15283851,4.040720984,3.608632989,3.420285885,3.943445049,2.59439255,3.808075868,3.172894698,3.866877814,3.971693239,3.997735777,3.813380807,3.544688022,4.289120518,3.443888547,3.191730393,3.797682935,3.790496277,4.152716311,4.174670241,3.988068203,4.099577061,3.72664572,2.50242712,3.957559402,3.76871208,3.653887558,3.479431337,3.220369632,4.266419866,4.044774874,3.351216345,4.003158834,3.509068045,4.195539897,4.038739348,3.581038949,4.267077817,4.142295588,3.428458774,3.526080692,4.256284678,4.232157188,4.484071953,3.726890141,4.013805927,4.113107367,3.871806364,4.267945726,3.190051418,3.677698181,3.587823171,4.373922952,4.353262086,3.63124078,4.088950734,3.965483924,4.078493068,3.922465945,4.116109414,2.587710965,3.850339855,3.7084209,3.778802204,4.221596786,3.901785145,3.906927347,3.673573796,4.35007349,4.040127442,4.001430812,4.038381691,4.213092551,3.855216195,3.703291378,4.214578954,3.378579576,2.784617293,3.691611874,4.291413255
GO:0005737,3.397766256,3.537063143,3.546912643,3.612147838,2.945468585,3.551693915,3.112269768,3.13893394,3.240549248,3.429267666,4.014058277,2.645422269,3.088136089,3.418135498,3.009875634,3.523876476,3.174059808,3.457276186,4.042457375,3.501196242,3.32407658,3.552424846,2.870988814,3.367728546,2.23299611,2.994756945,3.636989102,3.520483533,3.476686743,2.778874472,3.701913211,3.597585502,3.12515583,3.005180513,3.463445032,2.195899652,3.389874558,2.661812686,3.383456297,3.531223375,3.394801777,3.389520466,3.133858125,3.819609733,2.985875357,2.810904281,3.411788005,3.336859821,3.685024785,3.758003009,3.530967682,3.64630568,3.23325001,2.041392685,3.519302849,3.29380436,3.147057671,3.027349608,2.761927838,3.856608068,3.646991537,2.909020854,3.379486814,2.985875357,3.782185866,3.584670384,3.151063253,3.81571054,3.639386869,2.924795996,3.142702246,3.842297134,3.787602146,4.034146977,3.291146762,3.580354661,3.655330558,3.36660971,3.767378524,2.739572344,3.197831693,3.087781418,3.865400118,3.788592556,3.151676231,3.587935349,3.43679851,3.631443769,3.486288761,3.62211036,2.127104798,3.376941757,3.282848603,3.329804522,3.76260355,3.373279893,3.372359583,3.206825876,3.91179659,3.530967682,3.522965595,3.537063143,3.805228914,3.36398783,3.258876629,3.766784515,2.99343623,2.330413773,3.235023159,3.896856773
GO:0005840,3.32858345,3.481299273,3.475816413,3.533136288,2.914871818,3.524266269,2.895974732,3.109578547,3.228913406,3.433129518,3.975155978,2.646403726,3.051538391,3.36361198,3.045322979,3.46834733,3.151676231,3.448551739,4.028083007,3.181843588,3.320354033,3.334252642,2.79518459,3.298197867,2.419955748,2.962369336,3.59670703,3.473340964,3.463743721,2.785329835,3.653598382,3.524915148,3.101403351,2.994756945,3.402948829,2.255272505,3.410777233,2.691965103,3.360025089,3.555940438,3.092720645,3.369401414,3.15624619,3.719911064,2.924795996,2.752048448,3.43679851,3.27989498,3.638888425,3.73183042,3.478133428,3.604009932,3.131297797,2.209515015,3.472902652,3.289365952,3.084933575,3.048053173,2.812244697,3.859018144,3.646207612,2.942504106,3.093071306,2.904715545,3.742568034,3.549003262,3.101747074,3.718501689,3.537693194,2.925827575,3.113274692,3.801883707,3.766710207,3.956360554,3.239549721,3.583991799,3.583198774,3.279210513,3.674585602,2.816903839,3.169674434,3.140508043,3.840733235,3.522835314,3.112269768,3.452246575,3.362105319,3.596047008,3.393926007,3.561816664,2.357934847,3.351022853,3.242789809,3.314709693,3.743039155,3.194514342,3.299725154,3.244029589,3.874945436,3.456517858,3.424391554,3.440279213,3.812980166,3.367914739,3.330616667,3.741466762,3.123524981,2.399673721,3.221414238,3.838219222
GO:0005887,3.172602931,3.26245109,3.265289626,3.36267093,2.650307523,3.246005904,3.064457989,2.88422877,2.909556029,3.10002573,3.695919253,2.31386722,2.79518459,3.115943177,2.765668555,3.274619619,2.881954971,3.173186268,3.780317312,3.468790262,3.068185862,3.561935763,2.614897216,3.146128036,1.886490725,2.692846919,3.391993072,3.253095586,3.192288613,2.481442629,3.403292145,3.281941933,2.839478047,2.712649702,3.195346058,1.924279286,3.087426457,2.431363764,3.093771781,3.198106999,3.36567514,3.163161375,2.797959644,3.572871602,2.718501689,2.485721426,3.087781418,3.090610708,3.446226402,3.446381812,3.271841607,3.346548559,3.048053173,1.832508913,3.192846115,3.038620162,2.918554531,2.770115295,2.498310554,3.521661015,3.314077992,2.57634135,3.34752516,2.718501689,3.488691698,3.257438567,2.862727528,3.573567773,3.40688067,2.67669361,2.820201459,3.520090328,3.499274582,3.713238462,2.991669007,3.268577972,3.390228362,3.229937686,3.578524605,2.439332694,2.912753304,2.833784375,3.683047038,3.706717782,2.876794976,3.401745082,3.185258765,3.302763708,3.228400359,3.35679046,1.73239376,3.093071306,2.964730921,3.011993115,3.48301642,3.300160537,3.135768515,2.895974732,3.590172832,3.371806459,3.283074975,3.318897715,3.495683068,3.051152522,2.908485019,3.469969209,2.630427875,2.120573931,2.973127854,3.585686278
GO:0019867,2.948901761,2.957128198,2.993876915,3.058426024,2.424881637,2.974971994,2.685741739,2.662757832,2.636487896,2.788168371,3.281487888,2.075546961,2.491361694,2.894316063,2.457881897,2.971739591,2.657055853,2.791690649,3.429106008,3.119255889,2.700703717,3.101403351,2.338456494,2.893206753,1.740362689,2.411619706,2.972202838,2.923761961,2.7930916,2.267171728,3.07773118,3.049218023,2.597695186,2.477121255,2.883093359,1.591064607,2.786751422,2.167317335,2.828015064,2.799340549,3.004321374,2.664641976,2.555094449,3.292699003,2.488550717,2.33243846,2.621176282,2.807535028,3.04060234,3.145507171,2.997386384,3.02325246,2.758911892,1.447158031,2.939519253,2.778874472,2.619093331,2.428134794,2.245512668,3.117933835,2.86569606,2.346352974,3.011993115,2.428134794,3.053846427,2.994756945,2.582063363,3.201123897,3.153814864,2.432969291,2.558708571,3.213252052,3.112939976,3.421768401,2.747411808,2.967079734,3.085647288,2.902002891,3.242541428,2.187520721,2.639486489,2.550228353,3.292256071,3.350441857,2.64246452,3.087781418,2.902546779,3.033423755,2.911157609,3.049605613,1.612783857,2.846337112,2.677606953,2.749736316,3.103461622,2.933487288,2.850646235,2.598790507,3.247973266,3.035829825,2.999130541,3.034628457,3.059941888,2.799340549,2.551449998,3.087426457,2.290034611,1.806179974,2.73479983,3.127752516
GO:0043190,2.825426118,2.871572936,2.929418926,3.008600172,2.357934847,2.918030337,2.686636269,2.509202522,2.629409599,2.777426822,3.318063335,2.008600172,2.469822016,2.804820679,2.411619706,2.924279286,2.584331224,2.896526217,3.346548559,3.06483222,2.773054693,3.133538908,2.240549248,2.803457116,1.51851394,2.421603927,3.067814511,2.848804701,2.911690159,2.209515015,3.093071306,2.95616843,2.489958479,2.401400541,2.84509804,1.643452676,2.758911892,2.086359831,2.73239376,2.857935265,2.969415912,2.745855195,2.511883361,3.197831693,2.330413773,2.190331698,2.697229343,2.767155866,3.13481437,3.139879086,2.907411361,3.028977705,2.58546073,1.612783857,2.828015064,2.673020907,2.514547753,2.492760389,2.173186268,3.130333768,2.980003372,2.365487985,2.943988875,2.444044796,3.086715664,2.924279286,2.527629901,3.231979027,3.027757205,2.33243846,2.532754379,3.223755454,3.19838213,3.363799945,2.644438589,2.953276337,3.012837225,2.810232518,3.203576775,2.133538908,2.57863921,2.472756449,3.351989455,3.211120541,2.551449998,2.977723605,2.877946952,2.945468585,2.892094603,2.994756945,1.431363764,2.751279104,2.615950052,2.697229343,3.174641193,2.920123326,2.812244697,2.572871602,3.272537777,2.991669007,2.894869657,2.91750551,3.082066934,2.717670503,2.591064607,3.186391216,2.245512668,1.740362689,2.636487896,3.253095586
GO:0015934,2.463892989,2.610660163,2.599883072,2.664641976,2.045322979,2.661812686,2.064457989,2.255272505,2.401400541,2.584331224,3.096562438,1.826074803,2.201397124,2.503790683,2.136720567,2.580924976,2.318063335,2.596597096,3.130333768,2.311753861,2.46834733,2.434568904,1.949390007,2.428134794,1.591064607,2.117271296,2.730782276,2.614897216,2.584331224,1.908485019,2.795880017,2.683047038,2.245512668,2.176091259,2.523746467,1.505149978,2.53529412,1.799340549,2.481442629,2.654176542,2.238046103,2.530199698,2.28780173,2.827369273,2.093421685,1.913813852,2.564666064,2.394451681,2.757396029,2.858537198,2.613841822,2.713490543,2.294466226,1.414973348,2.605305046,2.380211242,2.23299611,2.209515015,1.919078092,2.943494516,2.767897616,2.103803721,2.257678575,2.113943352,2.876794976,2.674861141,2.245512668,2.853698212,2.658011397,2.064457989,2.283301229,2.926856709,2.897077003,3.064083436,2.357934847,2.720985744,2.712649702,2.40654018,2.813580989,1.924279286,2.320146286,2.222716471,2.963315511,2.619093331,2.245512668,2.575187845,2.495544338,2.700703717,2.536558443,2.684845362,1.556302501,2.487138375,2.403120521,2.42975228,2.873320602,2.292256071,2.460897843,2.357934847,2.998695158,2.562292864,2.563481085,2.558708571,2.910624405,2.50242712,2.419955748,2.880241776,2.217483944,1.431363764,2.346352974,2.959041392
GO:0005886,2.439332694,2.587710965,2.633468456,2.720985744,2.041392685,2.618048097,2.281033367,2.176091259,2.382017043,2.44870632,3.072617477,1.591064607,2.225309282,2.478566496,2.113943352,2.629409599,2.206825876,2.514547753,2.998695158,2.652246341,2.409933123,2.747411808,1.880813592,2.428134794,1.431363764,2,2.737987326,2.514547753,2.515873844,1.755874856,2.775974331,2.638489257,2.204119983,2.06069784,2.531478917,1.146128036,2.42975228,1.672097858,2.413299764,2.558708571,2.567026366,2.469822016,2.152288344,2.869818208,2.017033339,1.707570176,2.428134794,2.416640507,2.788168371,2.8162413,2.593286067,2.720985744,2.28780173,1.204119983,2.592176757,2.281033367,2.155336037,2.127104798,1.832508913,2.865103975,2.731588765,1.908485019,2.547774705,2.068185862,2.832508913,2.614897216,2.227886705,2.936010796,2.682145076,1.968482949,2.1430148,2.895974732,2.855519156,3.079904468,2.328379603,2.684845362,2.710963119,2.465382851,2.86332286,1.838849091,2.247973266,2.086359831,2.998695158,2.802773725,2.176091259,2.707570176,2.498310554,2.656098202,2.592176757,2.72427587,1.301029996,2.414973348,2.320146286,2.385606274,2.820857989,2.482873584,2.40654018,2.264817823,3.009875634,2.632457292,2.542825427,2.564666064,2.811575006,2.390935107,2.309630167,2.82672252,2.08278537,1.113943352,2.31386722,2.994317153
GO:0015935,2.411619706,2.571708832,2.600972896,2.658011397,2.033423755,2.619093331,1.977723605,2.222716471,2.382017043,2.542825427,3.086359831,1.763427994,2.155336037,2.474216264,2.195899652,2.553883027,2.264817823,2.587710965,3.137037455,2.252853031,2.42975228,2.414973348,1.954242509,2.408239965,1.544068044,2.049218023,2.72916479,2.58546073,2.602059991,1.892094603,2.763427994,2.627365857,2.217483944,2.10720997,2.515873844,1.397940009,2.544068044,1.86332286,2.437750563,2.683947131,2.193124598,2.51851394,2.255272505,2.815577748,2.049218023,1.897627091,2.561101384,2.380211242,2.754348336,2.82672252,2.603144373,2.683047038,2.220108088,1.342422681,2.599883072,2.408239965,2.181843588,2.204119983,1.908485019,2.965671971,2.778874472,2.089905111,2.170261715,2.008600172,2.858537198,2.646403726,2.209515015,2.84135947,2.62324929,2.053078443,2.257678575,2.915399835,2.897627091,3.05422991,2.334453751,2.715167358,2.694605199,2.374748346,2.787460475,1.973127854,2.292256071,2.225309282,2.941014244,2.571708832,2.238046103,2.550228353,2.451786436,2.673941999,2.51054501,2.639486489,1.477121255,2.475671188,2.376576957,2.401400541,2.86332286,2.342422681,2.378397901,2.311753861,2.998259338,2.544068044,2.534026106,2.5289167,2.942008053,2.428134794,2.462397998,2.865103975,2.283301229,1.431363764,2.342422681,2.971275849
