GO,ERZ3455800,ERZ3455810,ERZ3455820,ERZ3455830,ERZ3455840,ERZ3455850,ERZ3455860,ERZ3455870,ERZ3455880,ERZ3455890,ERZ3455900,ERZ3455791,ERZ3455801,ERZ3455811,ERZ3455821,ERZ3455831,ERZ3455841,ERZ3455851,ERZ3455861,ERZ3455871,ERZ3455881,ERZ3455891,ERZ3455792,ERZ3455802,ERZ3455812,ERZ3455822,ERZ3455832,ERZ3455842,ERZ3455852,ERZ3455862,ERZ3455872,ERZ3455882,ERZ3455892,ERZ3455793,ERZ3455803,ERZ3455813,ERZ3455823,ERZ3455833,ERZ3455843,ERZ3455853,ERZ3455863,ERZ3455873,ERZ3455883,ERZ3455893,ERZ3455794,ERZ3455804,ERZ3455814,ERZ3455824,ERZ3455834,ERZ3455844,ERZ3455854,ERZ3455864,ERZ3455874,ERZ3455884,ERZ3455894,ERZ3455795,ERZ3455805,ERZ3455815,ERZ3455825,ERZ3455835,ERZ3455845,ERZ3455855,ERZ3455865,ERZ3455875,ERZ3455885,ERZ3455895,ERZ3455796,ERZ3455806,ERZ3455816,ERZ3455826,ERZ3455836,ERZ3455846,ERZ3455856,ERZ3455866,ERZ3455876,ERZ3455886,ERZ3455896,ERZ3455797,ERZ3455807,ERZ3455817,ERZ3455827,ERZ3455837,ERZ3455847,ERZ3455857,ERZ3455867,ERZ3455877,ERZ3455887,ERZ3455897,ERZ3455798,ERZ3455808,ERZ3455818,ERZ3455828,ERZ3455838,ERZ3455848,ERZ3455858,ERZ3455868,ERZ3455878,ERZ3455888,ERZ3455898,ERZ3455799,ERZ3455809,ERZ3455819,ERZ3455829,ERZ3455839,ERZ3455849,ERZ3455859,ERZ3455869,ERZ3455879,ERZ3455889,ERZ3455899
GO:0003899,2.586587305,2.808885867,2.761927838,2.860936621,2.195899652,2.834420704,2.198657087,2.469822016,2.545307116,2.756636108,3.30427505,1.875061263,2.372912003,2.648360011,2.33243846,2.752816431,2.45331834,2.736396502,3.346548559,2.499687083,2.635483747,2.661812686,2.08278537,2.593286067,1.77815125,2.201397124,2.950851459,2.713490543,2.725094521,2.127104798,2.978180517,2.896526217,2.465382851,2.278753601,2.72916479,1.591064607,2.715167358,2.004321374,2.664641976,2.967547976,2.439332694,2.726727209,2.45331834,3.092018471,2.167317335,2.075546961,2.787460475,2.532754379,3.004321374,3.039017322,2.770115295,2.918554531,2.44870632,1.531478917,2.802773725,2.599883072,2.408239965,2.354108439,2.120573931,3.193958978,3.017033339,2.250420002,2.409933123,2.136720567,3.100370545,2.8876173,2.423245874,2.998259338,2.910090546,2.238046103,2.383815366,3.113609151,3.01911629,3.303627976,2.600972896,2.916453949,2.906873535,2.632457292,3.063708559,2.08278537,2.51851394,2.501059262,3.15624619,2.851258349,2.437750563,2.793790385,2.698970004,2.940516485,2.670245853,2.894316063,1.707570176,2.666517981,2.539076099,2.593286067,3.020775488,2.588831726,2.588831726,2.579783597,3.218797998,2.816903839,2.759667845,2.802089258,3.146438135,2.669316881,2.697229343,2.996511672,2.477121255,1.740362689,2.514547753,3.167021796
GO:0010181,2.652246341,2.890979597,2.826074803,2.886490725,2.212187604,2.811575006,2.51054501,2.423245874,2.564666064,2.697229343,3.286905353,1.633468456,2.426511261,2.710963119,2.222716471,2.77524626,2.456366033,2.701567985,3.2955671,2.931966115,2.561101384,2.942999593,2.164352856,2.627365857,1.591064607,2.193124598,2.877371346,2.748188027,2.725911632,1.973127854,2.953759692,2.88536122,2.40654018,2.149219113,2.79518459,1.414973348,2.615950052,1.886490725,2.633468456,2.790285164,2.844477176,2.6599162,2.352182518,3.091666958,2.238046103,2.025305865,2.609594409,2.58546073,2.929418926,3.009025742,2.777426822,2.900367129,2.572871602,1.230448921,2.795880017,2.588831726,2.469822016,2.230448921,2.008600172,3.07773118,2.904715545,2.064457989,2.806179974,2.252853031,3.056142262,2.868056362,2.36361198,3.087071206,2.922725458,2.146128036,2.334453751,3.092720645,3.051923916,3.32756326,2.540329475,2.827369273,2.934498451,2.689308859,3.102433706,1.982271233,2.447158031,2.359835482,3.218272854,3.15624619,2.424881637,2.922206277,2.739572344,2.916980047,2.715167358,2.969881644,1.176091259,2.638489257,2.482873584,2.599883072,3.027757205,2.745074792,2.670245853,2.457881897,3.181557774,2.86923172,2.782472624,2.820201459,3.014100322,2.610660163,2.519827994,3.022428371,2.158362492,1.447158031,2.484299839,3.14082218
GO:0005506,2.766412847,2.770115295,2.791690649,2.836324116,2.247973266,2.830588669,2.572871602,2.477121255,2.418301291,2.663700925,3.148294097,1.826074803,2.372912003,2.694605199,2.278753601,2.730782276,2.478566496,2.815577748,3.574147064,2.933487288,2.730782276,2.84135947,2.257678575,2.739572344,1.462397998,2.217483944,3.007320953,2.806179974,2.827369273,2.103803721,2.934498451,2.831869774,2.423245874,2.23299611,2.699837726,1.230448921,2.658011397,2.008600172,2.766412847,2.747411808,2.849419414,2.556302501,2.365487985,3.084218687,2.356025857,2.071882007,2.587710965,2.539076099,3.048830087,3.007747778,2.746634199,2.896526217,2.57054294,1.397940009,2.746634199,2.632457292,2.53529412,2.40654018,2.045322979,3.06069784,2.799340549,2.190331698,2.847572659,2.390935107,2.907411361,2.813580989,2.340444115,3.041392685,2.993876915,2.28780173,2.399673721,3.07114529,3.11991541,3.27392678,2.547774705,2.822821645,2.869818208,2.697229343,3.08849047,2.012837225,2.553883027,2.450249108,3.259115844,3.181843588,2.460897843,2.911690159,2.825426118,2.832508913,2.683047038,2.865103975,1.301029996,2.77815125,2.556302501,2.563481085,3.091666958,2.719331287,2.778874472,2.475671188,3.133538908,2.843232778,2.85672889,2.868644438,3.04453976,2.744292983,2.488550717,3.08278537,2.212187604,1.72427587,2.506505032,3.109915863
GO:0042626,2.652246341,2.907411361,2.854913022,2.937517892,2.1430148,2.848189117,2.390935107,2.383815366,2.696356389,2.750508395,3.306853749,1.924279286,2.457881897,2.72916479,2.230448921,2.846955325,2.418301291,2.745074792,3.238798563,2.792391689,2.583198774,2.904715545,2.025305865,2.639486489,1.633468456,2.267171728,2.948412966,2.818225894,2.771587481,1.963787827,3.049992857,2.871572936,2.419955748,2.252853031,2.815577748,1.505149978,2.677606953,1.913813852,2.687528961,2.862131379,2.67669361,2.656098202,2.382017043,3.10002573,2.158362492,2.008600172,2.57634135,2.636487896,2.986771734,3.02201574,2.829946696,2.996073654,2.503790683,1.380211242,2.8162413,2.562292864,2.330413773,2.311753861,2.017033339,3.078819183,2.981818607,2.193124598,2.687528961,2.255272505,3.074084689,2.930439595,2.489958479,3.15075644,2.883093359,2.158362492,2.383815366,3.108565024,3.094121596,3.376394442,2.565847819,2.902546779,2.963787827,2.658964843,3.109915863,2.004321374,2.439332694,2.36361198,3.202488317,3.082426301,2.413299764,2.914343157,2.729974286,2.970346876,2.782472624,3.013679697,1.301029996,2.662757832,2.494154594,2.618048097,3.090963077,2.698100546,2.644438589,2.480006943,3.256236533,2.878521796,2.723455672,2.783903579,3.01745073,2.69019608,2.599883072,3.084933575,2.301029996,1.491361694,2.491361694,3.147057671
GO:0016829,2.588831726,2.821513528,2.782472624,2.930439595,2.146128036,2.833784375,2.401400541,2.342422681,2.525044807,2.685741739,3.372543801,1.799340549,2.411619706,2.622214023,2.245512668,2.849419414,2.419955748,2.73239376,3.431685345,2.806179974,2.63447727,2.910090546,1.986771734,2.557507202,1.579783597,2.23299611,2.978636948,2.769377326,2.766412847,1.897627091,3.008174184,2.850033258,2.411619706,2.170261715,2.743509765,1.397940009,2.654176542,2,2.679427897,2.843232778,2.692846919,2.763427994,2.338456494,3.085647288,2.079181246,1.982271233,2.770115295,2.632457292,3.035829825,3.006037955,2.839478047,2.925827575,2.503790683,1.301029996,2.798650645,2.547774705,2.340444115,2.301029996,1.963787827,3.206286044,3.0523091,2.093421685,2.691965103,2.227886705,3.13001195,2.879669206,2.376576957,3.122870923,2.911157609,2.238046103,2.336459734,3.113943352,3.087781418,3.327154512,2.527629901,2.865103975,2.913813852,2.656098202,3.061075324,1.973127854,2.489958479,2.372912003,3.21005085,3.114944416,2.369215857,2.877946952,2.693726949,2.911690159,2.7355989,2.932980822,1.380211242,2.691081492,2.46686762,2.580924976,3.068927612,2.678518379,2.624282096,2.487138375,3.231724383,2.812244697,2.757396029,2.768638101,3.162862993,2.643452676,2.567026366,3.06669855,2.276461804,1.51851394,2.45484486,3.281033367
GO:0015562,2.85308953,2.868056362,2.800717078,2.835690571,2.220108088,2.820857989,2.655138435,2.564666064,2.222716471,2.760422483,3.33405144,1.748188027,2.408239965,2.650307523,2.274157849,2.738780558,2.437750563,2.638489257,3.528659645,3.050379756,2.574031268,2.953759692,2.336459734,2.818225894,1.176091259,2.176091259,2.862131379,2.819543936,2.685741739,2.1430148,2.959994838,2.890979597,2.505149978,2.190331698,2.758154622,1.301029996,2.658964843,2.08278537,2.752048448,2.814247596,2.937517892,2.705007959,2.387389826,3.216429831,2.419955748,2.123851641,2.713490543,2.539076099,2.906335042,2.979548375,2.848804701,2.894869657,2.629409599,1.380211242,2.816903839,2.725094521,2.591064607,2.267171728,2.056904851,3.209515015,2.819543936,2.103803721,2.949390007,2.45331834,3.108565024,2.904715545,2.330413773,2.992111488,3.103803721,2.29666519,2.361727836,3.052693942,2.942999593,3.315760491,2.565847819,2.797959644,2.92788341,2.733197265,3.0923697,2.037426498,2.537819095,2.488550717,3.183839037,3.378579576,2.572871602,2.946943271,2.920645001,2.950364854,2.664641976,2.932473765,1.414973348,2.73239376,2.542825427,2.565847819,2.974511693,2.709269961,2.867467488,2.547774705,3.133538908,2.881384657,2.948412966,3.01494035,3.136720567,2.733197265,2.558708571,2.938519725,2.278753601,1.748188027,2.511883361,3.105510185
GO:0016747,2.799340549,2.877946952,2.846955325,2.906873535,2.269512944,2.862727528,2.565847819,2.46686762,2.50242712,2.688419822,3.207634367,1.826074803,2.411619706,2.69019608,2.305351369,2.80140371,2.498310554,2.828659897,3.487986331,3.01911629,2.665580991,2.926856709,2.220108088,2.77815125,1.431363764,2.243038049,2.959041392,2.876794976,2.866287339,2.146128036,3.009875634,2.92992956,2.451786436,2.230448921,2.787460475,1.361727836,2.707570176,2.096910013,2.765668555,2.804139432,2.894316063,2.509202522,2.365487985,3.163757524,2.342422681,1.959041392,2.670245853,2.618048097,3.01745073,2.995635195,2.807535028,2.941014244,2.62838893,1.431363764,2.80140371,2.669316881,2.552668216,2.33243846,2.017033339,3.098297536,2.875061263,2.209515015,2.880813592,2.451786436,2.948901761,2.894869657,2.371067862,3.08350262,3.049605613,2.309630167,2.356025857,3.082426301,3.15624619,3.362482475,2.582063363,2.843232778,2.982723388,2.778874472,3.153509989,2.041392685,2.607455023,2.457881897,3.28171497,3.267640982,2.492760389,2.974971994,2.881384657,2.924279286,2.716837723,2.971275849,1.361727836,2.785329835,2.600972896,2.615950052,3.114610984,2.789580712,2.833784375,2.517195898,3.188928484,2.950851459,2.899273187,2.956648579,3.070407322,2.752816431,2.567026366,3.108226656,2.225309282,1.681241237,2.568201724,3.123851641
GO:0051539,2.705007959,2.855519156,2.84135947,2.928395852,2.252853031,2.86569606,2.447158031,2.450249108,2.549003262,2.764922985,3.375663614,1.86332286,2.426511261,2.713490543,2.336459734,2.852479994,2.45484486,2.797959644,3.435207103,2.814913181,2.7084209,2.836956737,2.23299611,2.710117365,1.602059991,2.252853031,3.030599722,2.856124444,2.819543936,2.117271296,3.02201574,2.935003151,2.484299839,2.298853076,2.782472624,1.380211242,2.716003344,1.908485019,2.698100546,2.909020854,2.700703717,2.764922985,2.419955748,3.165837625,2.346352974,2.079181246,2.822821645,2.612783857,3.070037867,3.118595365,2.850646235,2.956648579,2.53529412,1.041392685,2.859738566,2.64246452,2.506505032,2.456366033,2.068185862,3.24674471,3.055760465,2.120573931,2.71432976,2.305351369,3.149219113,2.925827575,2.434568904,3.147057671,2.976808337,2.252853031,2.469822016,3.191730393,3.125481266,3.370698093,2.62324929,2.919601024,2.957607287,2.680335513,3.113274692,2.025305865,2.517195898,2.444044796,3.21005085,3.126131407,2.505149978,2.918554531,2.753583059,2.982271233,2.789580712,2.954724791,1.414973348,2.711807229,2.627365857,2.646403726,3.114610984,2.705863712,2.691081492,2.519827994,3.26904571,2.862131379,2.844477176,2.882524538,3.219322508,2.692846919,2.64246452,3.113274692,2.315970345,1.602059991,2.515873844,3.307067951
GO:0004519,2.846955325,2.94792362,2.911157609,3.013258665,2.146128036,2.866287339,2.369215857,2.509202522,2.5774918,2.682145076,3.27600199,1.84509804,2.378397901,2.786751422,2.198657087,2.932473765,2.408239965,2.792391689,3.249198357,2.848804701,2.63447727,2.854306042,2.06069784,2.780317312,1.579783597,2.247973266,3.097951071,2.938019097,2.838849091,1.954242509,3.004751156,3.069668097,2.442479769,2.195899652,2.772321707,1.322219295,2.712649702,1.826074803,2.653212514,2.993876915,2.695481676,2.475671188,2.357934847,3.326540669,2.245512668,2.012837225,2.653212514,2.662757832,3.14082218,3.062957834,2.858537198,2.970811611,2.557507202,1.041392685,2.850646235,2.643452676,2.444044796,2.340444115,2.120573931,3.202760687,3.15896526,2.075546961,2.750508395,2.320146286,3.007320953,2.992111488,2.496929648,3.113943352,3.079904468,2.096910013,2.292256071,3.138618434,3.170555059,3.382917135,2.660865478,2.80685803,3.009450896,2.709269961,3.220892249,1.929418926,2.397940009,2.356025857,3.25791845,3.216693599,2.563481085,2.931966115,2.831869774,3.015778756,2.713490543,3.045322979,1.230448921,2.580924976,2.559906625,2.617000341,3.143951116,2.748188027,2.805500858,2.392696953,3.241546481,2.965201701,2.846955325,2.996949248,3.098643726,2.699837726,2.669316881,3.146748014,2.230448921,1.431363764,2.544068044,3.31868927
GO:0008170,2.884795364,2.940516485,2.975891136,3.053462605,2.049218023,2.868644438,2.340444115,2.555094449,2.519827994,2.704150517,3.280350693,1.792391689,2.354108439,2.840733235,2.271841607,2.968482949,2.380211242,2.827369273,3.322632712,2.921686475,2.613841822,2.712649702,2.10720997,2.822168079,1.591064607,2.311753861,2.974971994,3.000434077,2.862727528,2.071882007,3.030194785,3.103461622,2.444044796,2.235528447,2.807535028,1.041392685,2.780317312,1.838849091,2.677606953,2.92788341,2.701567985,2.503790683,2.385606274,3.344785123,2.247973266,2.056904851,2.725911632,2.725094521,3.043755127,3.055760465,2.903089987,2.969415912,2.557507202,1.146128036,2.862727528,2.720159303,2.456366033,2.336459734,2.127104798,3.257438567,3.080987047,2.075546961,2.748962861,2.346352974,2.990338855,3.019531685,2.471291711,3.113274692,3.099680641,2.017033339,2.257678575,3.139564266,3.242292905,3.420450859,2.737192643,2.847572659,3.030194785,2.748188027,3.224274014,1.963787827,2.397940009,2.404833717,3.317436497,3.278067331,2.572871602,2.973589623,2.939019776,3.05804623,2.728353782,3.033825694,1.397940009,2.640481437,2.618048097,2.624282096,3.195068996,2.812244697,2.915399835,2.46834733,3.223236273,2.95616843,2.921166051,3.005609445,3.181557774,2.725911632,2.593286067,3.213517757,2.376576957,1.361727836,2.58546073,3.306425028
