GO,SRR5788441,SRR5788451,SRR5788461,SRR5787992,SRR5788002,SRR5788012,SRR5788022,SRR5788032,SRR5788042,SRR5788052,SRR5788062,SRR5788072,SRR5788082,SRR5788092,SRR5788102,SRR5788112,SRR5788122,SRR5788132,SRR5788142,SRR5788152,SRR5788162,SRR5788172,SRR5788182,SRR5788192,SRR5788202,SRR5788212,SRR5788222,SRR5788232,SRR5788242,SRR5788252,SRR5788262,SRR5788272,SRR5788282,SRR5788292,SRR5788302,SRR5788312,SRR5788322,SRR5788332,SRR5788342,SRR5788352,SRR5788362,SRR5788372,SRR5788382,SRR5788392,SRR5788402,SRR5788412,SRR5788422,SRR5788432,SRR5788442,SRR5788452,SRR5788462,SRR5787993,SRR5788003,SRR5788013,SRR5788023,SRR5788033,SRR5788043,SRR5788053,SRR5788063,SRR5788073,SRR5788083,SRR5788093,SRR5788103,SRR5788113,SRR5788123,SRR5788133,SRR5788143,SRR5788153,SRR5788163,SRR5788173,SRR5788183,SRR5788193,SRR5788203,SRR5788213,SRR5788223,SRR5788233,SRR5788243,SRR5788253,SRR5788263,SRR5788273,SRR5788283,SRR5788293,SRR5788303,SRR5788313,SRR5788323,SRR5788333,SRR5788343,SRR5788353,SRR5788363,SRR5788373,SRR5788383,SRR5788393,SRR5788403,SRR5788413,SRR5788423,SRR5788433,SRR5788443,SRR5788453,SRR5788463,SRR5787994,SRR5788004,SRR5788014,SRR5788024,SRR5788034,SRR5788044,SRR5788054,SRR5788064,SRR5788074,SRR5788084,SRR5788094,SRR5788104,SRR5788114,SRR5788124,SRR5788134,SRR5788144,SRR5788154,SRR5788164,SRR5788174,SRR5788184,SRR5788194,SRR5788204,SRR5788214,SRR5788224,SRR5788234,SRR5788244,SRR5788254,SRR5788264,SRR5788274,SRR5788284,SRR5788294,SRR5788304,SRR5788314,SRR5788324,SRR5788334,SRR5788344,SRR5788354
GO:0055114,4.866364146,5.831668251,5.947645916,5.976105476,5.754277987,6.039109014,5.945419343,5.693030993,5.721802374,5.853858762,5.842753357,5.777445673,6.027385492,5.883397372,5.881676751,6.193211727,5.728434139,6.106863074,5.73728172,5.921940217,6.079105962,5.792117016,5.943376281,5.81003684,5.759369401,5.950870425,5.938849324,6.069118778,5.734707842,5.961149041,5.828664407,5.632159562,5.831330249,5.858090643,5.028624113,5.950143269,5.867045363,5.707404091,6.016291064,5.665841677,6.010022072,5.852116913,5.961514113,5.926474156,5.799465994,6.135559736,6.004750296,5.851302388,4.870456579,5.957891138,5.937179251,5.744390786,5.860234363,5.542911282,5.638619027,5.725611931,5.869879157,5.785775292,5.715935689,5.912058833,5.800608491,5.845112309,5.698598089,5.810600101,5.813996405,5.752131455,5.941758324,5.814600483,6.013873656,5.825207942,5.920824313,5.930537453,5.756884749,5.981932713,5.967534872,5.867399127,5.71622461,5.835585314,5.946840696,5.721323306,6.750670511,5.782867323,5.911112845,6.027137098,5.90244458,5.853180887,6.065628257,5.83218243,5.690448606,6.134384639,5.956590989,5.762393441,5.490946815,6.024647369,5.972697504,5.994576244,5.110529107,5.94050503,5.710723092,5.804508119,5.78973438,5.908935701,5.82662154,5.935943357,5.888436174,5.90209268,5.993307907,5.884604504,5.948338132,5.87863897,5.830512965,5.902073635,5.631820062,5.809035552,5.795663163,5.893054001,6.001253734,5.948119914,5.847017716,5.886649749,6.052311025,6.090456986,5.975543929,5.734551019,5.553115662,5.880640411,5.730875905,6.276469847,5.689671064,6.016300267,5.839741938,5.864524133,5.768795662,5.864998499,6.203603136,5.778482635
GO:0008152,4.627642324,5.536161842,5.672773722,5.712576471,5.495641453,5.770790175,5.661438785,5.436638043,5.426971337,5.58386388,5.558395334,5.510878645,5.762915523,5.605333064,5.608982552,5.919732181,5.455968001,5.812166396,5.474117152,5.648926664,5.805371026,5.513313507,5.654944304,5.559603829,5.502685162,5.685847389,5.695886887,5.821359566,5.45692297,5.694770989,5.545512461,5.377080301,5.561374521,5.548458212,4.775836091,5.696005841,5.602623123,5.389984268,5.744292983,5.361425613,5.720277581,5.605203735,5.676386295,5.633109762,5.515472466,5.869464064,5.71540745,5.609623219,4.620261014,5.706848307,5.671358929,5.468400506,5.580442538,5.275617672,5.382271058,5.465010865,5.58693595,5.519965739,5.452954236,5.666341044,5.533948637,5.584195486,5.453799773,5.526210004,5.527498433,5.456630174,5.681254809,5.581242886,5.738888326,5.531386939,5.645313191,5.689700347,5.498495262,5.720927119,5.711548262,5.614376172,5.459446771,5.570744863,5.650359985,5.420530024,6.470197408,5.503930887,5.655737578,5.753265073,5.623067262,5.579892157,5.77498823,5.549187246,5.393657668,5.855466456,5.694828869,5.461252347,5.195393141,5.762171967,5.687965711,5.753193781,4.865204686,5.695710146,5.393027384,5.538060722,5.508039262,5.647960667,5.52820171,5.690484037,5.604115845,5.634804631,5.727874576,5.628786255,5.684364141,5.617601014,5.570978184,5.625137463,5.343881038,5.486577816,5.515054798,5.610869809,5.71920529,5.664391855,5.571442119,5.651332297,5.794699217,5.829383547,5.699773574,5.484651404,5.330269661,5.590419368,5.438766953,5.975613301,5.433270468,5.734380529,5.581959893,5.609133193,5.486875173,5.585993964,5.958921587,5.482676392
GO:0006810,4.192985379,5.031913164,5.173556281,5.20678811,5.008634233,5.287075807,5.150209775,5.012035359,4.932935211,5.090367407,4.995266546,5.086875694,5.230811534,5.105503372,5.099138298,5.491036552,4.935859798,5.316674716,4.973792647,5.144829417,5.286072306,5.025768593,5.174181963,4.982366225,5.075758583,5.260183526,5.154880245,5.302201011,4.934574194,5.18862198,5.055756645,4.902693512,5.071204274,5.06196112,4.335197045,5.187960433,5.054754732,4.90602241,5.265192948,4.87796996,5.237468333,5.150774855,5.181288937,5.133468649,5.021660563,5.289187468,5.219990342,5.108879469,4.193625418,5.166240605,5.175027383,4.901327523,5.088518808,4.721967164,4.837171619,5.040622116,5.082490955,5.012259186,4.915805972,5.234977655,5.026504665,5.080406398,4.943024353,5.07226093,5.049950277,4.969052295,5.141396463,4.999691541,5.249562767,5.037800866,5.145510278,5.151823217,5.069301715,5.176973428,5.173084241,5.173267873,4.92544102,5.080438877,5.168839128,4.932676659,6.055395917,5.034110845,5.212097006,5.283733046,5.151188984,5.07382462,5.28648117,5.083111866,4.899596187,5.404387224,5.127927234,4.982510934,4.659193359,5.174722524,5.208016529,5.336515768,4.415724362,5.139570565,4.904893986,4.965681371,5.017738495,5.114113696,5.019440332,5.214679633,5.111003608,5.130999177,5.178712263,5.189939255,5.152120099,5.107579641,5.100205068,5.165988786,4.863590493,5.001621232,5.153296449,5.123475961,5.226617947,5.235409757,5.095176328,5.151265632,5.230890655,5.292473164,5.21279732,5.051183405,4.863614275,5.059714846,4.948945726,5.499413501,4.983554124,5.257414559,5.136260669,5.051032834,4.977385181,5.091008864,5.563842847,5.025948637
GO:0006412,4.105850674,5.080132033,5.231196796,5.177957605,4.956192451,5.303323518,5.216487874,4.968169957,4.953315025,5.104179719,5.101021499,4.967046938,5.149539325,5.141198845,5.137986733,5.460873798,5.032687243,5.360368067,4.976386665,5.183520381,5.35633186,5.033789535,5.228618478,4.986646353,4.985102991,5.157523252,5.077087977,5.281319771,4.91625913,5.25959149,5.076705965,4.783531984,5.025874992,5.075214727,4.259617767,5.186778402,4.982877013,4.900159492,5.242553851,4.854178468,5.252190166,5.030668524,5.225508288,5.184396124,4.990036786,5.314694964,5.226607637,5.066422839,4.103153503,5.104882986,5.191428656,4.998869364,5.089679078,4.848613963,4.803334185,4.999661118,5.097746527,5.052081883,4.921504398,5.079123336,5.006286297,5.086021519,4.871000504,5.051326206,5.062156882,5.006196396,5.096141501,4.968403554,5.276008891,5.076731443,5.186314868,5.133679393,4.984590315,5.107888025,5.157223994,5.151440337,4.893584236,5.114444172,5.201367078,4.950904952,5.980699958,5.042213121,5.142145342,5.283124761,5.132835804,5.132141171,5.301251429,5.067044805,4.944561628,5.331263266,5.124109529,5.003718964,4.699594939,5.2006426,5.231324292,5.214504754,4.318876875,5.082350859,4.908640479,5.034588354,5.028355679,5.046397603,5.072444753,5.186865966,5.101203866,5.168081847,5.143099151,5.074000458,5.107501663,5.138346915,5.058638564,5.162546485,4.871666322,5.053892463,5.058403246,5.112591597,5.283461797,5.153631965,5.106527456,5.14082218,5.220769491,5.249027053,5.249892673,5.008319067,4.700539312,5.157674314,4.995657128,5.508922763,4.933573328,5.274725757,5.052262896,4.967332648,5.029395954,5.143673553,5.387999902,5.022288121
GO:0006418,4.012668534,5.014902583,5.117655692,5.125539818,4.886919168,5.222817881,5.137366773,4.853904969,4.876777673,5.013351327,4.950661748,4.909449047,5.121707538,5.053186043,5.045483364,5.356748442,4.914834832,5.299544342,4.871613795,5.090402676,5.242750078,4.902002891,5.157257255,4.920222493,4.877843399,5.057540589,5.045495097,5.183452067,4.864137142,5.173707692,5.01078318,4.729480673,4.96653594,5.015103966,4.164055292,5.113040418,4.9562597,4.808150181,5.153146909,4.764482497,5.182371849,4.946280282,5.150609092,5.105888112,4.915325951,5.255149438,5.177669221,4.949082476,4.031610415,5.06562079,5.095176328,4.9263939,5.019676979,4.706845748,4.757798248,4.879262222,5.000759351,4.949999543,4.86023616,5.005369295,4.948006848,4.988211025,4.81232499,5.014503738,5.011845227,4.938104245,5.038135134,4.90990354,5.194306164,4.971674697,5.081138393,5.07058824,4.873843533,5.066765589,5.109092351,5.001923999,4.842790158,5.039727333,5.165113692,4.892534242,5.91051395,4.966592226,5.051129359,5.212126319,5.067948234,5.033085839,5.197393598,4.983179587,4.855185887,5.258412177,5.073237979,4.946683107,4.620791688,5.142380079,5.156224975,5.120692359,4.23530114,5.041392685,4.81559767,4.959904351,4.94403334,5.01300585,4.998499093,5.069275797,5.008088936,5.072808495,5.104859107,5.034050617,5.061866972,5.044645577,4.970960221,5.094209005,4.82087111,4.994840455,4.972499058,5.017504961,5.181374754,5.08395388,5.040127442,5.035253583,5.160033118,5.199725017,5.164028501,4.862673908,4.636206968,5.086897027,4.936764998,5.436882692,4.840168849,5.197327432,4.973155574,4.937402533,4.952850539,5.024838542,5.336477746,4.970978794
GO:0009058,3.982858942,5.050866759,5.135151741,5.10696561,4.826334006,5.207047013,5.17313963,4.791107925,4.911626287,5.031727503,4.973760354,4.833561439,5.093537248,5.083971777,5.083133384,5.329694766,4.987366802,5.341072297,4.842334599,5.096670216,5.249834042,4.93026625,5.167798633,4.873256645,4.81519907,4.99428195,5.015937871,5.11584673,4.850744231,5.146342028,5.046073542,4.723980777,4.90522904,5.061746433,4.119849503,5.098750988,4.920326854,4.91769977,5.104128465,4.816665442,5.196880547,4.867850347,5.156540066,5.140332027,4.9394893,5.217131101,5.17389979,4.871905534,3.999782798,5.030603769,5.115726974,4.911594348,5.03832603,4.67752483,4.718551509,4.822893478,5.02438714,4.962785907,4.820851429,4.936533848,4.914343157,5.011621186,4.749465763,5.000568553,5.058759969,4.974097004,4.998224454,4.913103571,5.220474206,4.993414185,5.106082055,5.017517475,4.823409015,5.040985837,5.077364271,4.91351186,4.81948471,5.012537753,5.212728138,4.938654796,5.871972023,4.99571415,5.006534497,5.202057623,5.024358398,5.053201412,5.214149481,4.944280283,4.884370488,5.193277688,5.036141638,5.001526032,4.66807826,5.10180548,5.204247538,5.043385859,4.181700704,5.007542954,4.812452091,4.921405524,4.964683815,4.986157916,5.040404529,5.0227788,5.031586186,5.085568837,5.082842794,4.981542274,5.027121186,5.078496693,4.949121539,5.084129243,4.858218277,5.050669705,4.968856375,5.038441321,5.17353007,5.067762497,5.049090042,5.033757391,5.127470877,5.173413558,5.159973027,4.818845872,4.664134062,5.097045492,4.97901998,5.467313544,4.7747067,5.227773619,4.922284194,4.892122441,4.992482823,5.048861134,5.312124442,4.994035452
GO:0006508,4.035349677,5.015946244,5.134279132,5.089353949,4.858007541,5.200866907,5.112718922,4.878383902,4.892840058,5.016331219,4.977092277,4.899618076,5.103605336,5.064087183,5.054942289,5.333626598,4.951104278,5.279363471,4.891726967,5.085921756,5.253677165,4.989498762,5.124761726,4.910469653,4.924336154,5.105506779,5.036569016,5.171469018,4.818159886,5.099193599,5.002731788,4.704193429,4.930979578,5.00200182,4.186249821,5.102605194,4.942310713,4.846596869,5.143061664,4.841966058,5.194417204,4.992465148,5.102076793,5.093792778,4.95531245,5.215412825,5.102025291,4.968099853,4.04406915,5.049000821,5.117304447,4.884529157,5.020816887,4.714438739,4.76518408,4.91549481,5.034672566,4.950977887,4.824763459,5.06108287,4.911828515,5.015657288,4.841184215,4.969224818,4.980734916,4.916058956,5.040871219,4.902013776,5.179821705,5.012710713,5.105210333,5.053554753,4.914422497,5.054582415,5.066586796,5.028021938,4.806417414,4.978276407,5.115963129,4.886157827,5.87035942,4.963717013,5.072801149,5.183266996,5.045099905,5.028363815,5.247691006,5.013561849,4.851123758,5.200872376,5.048709756,4.944413574,4.63918756,5.110667136,5.147688688,5.124354217,4.237040791,5.046748721,4.8774347,4.899119815,4.955095783,5.00718428,4.995345568,5.100515286,5.056920089,5.068078203,5.087618172,5.020825166,5.038290243,5.061380845,4.96039942,5.05712956,4.807074784,4.979907862,4.963372216,5.063734811,5.1526827,5.085476104,5.030065126,5.028733879,5.136140063,5.177775945,5.130610342,4.890169424,4.686975708,5.04406915,4.898516758,5.44042889,4.829631783,5.190446561,4.996393451,4.947173852,4.94334115,5.040262049,5.299374353,4.936201984
GO:0006260,3.841422044,4.898593557,4.964603723,4.938789824,4.643679635,5.053308981,4.949194774,4.695709271,4.804548308,4.870702307,4.84628143,4.74548858,4.87875152,4.924759846,4.905768905,5.201088365,4.735183567,5.159170011,4.708055293,4.93132563,5.076738722,4.831101565,4.979566584,4.75198695,4.709719291,4.901507361,4.804337104,4.980026109,4.76627153,4.998268059,4.872866885,4.511482289,4.759494092,4.982718868,3.996161293,4.963943579,4.733076834,4.875425918,5.014016229,4.797821311,5.084729952,4.747737989,4.9650464,5.018559039,4.909727146,5.02819698,4.981116103,4.742905723,3.841734779,4.834242626,4.94408274,4.701973598,4.949555885,4.54853682,4.54585119,4.737359647,4.94856944,4.788309812,4.675228254,4.850131392,4.788691473,4.864190582,4.608814754,4.835221153,4.831997677,4.79840892,4.878280454,4.684135913,5.025055869,4.881002127,4.917872955,4.969415912,4.710032699,4.840720701,4.867679574,4.809162271,4.627058464,4.8685504,4.981496956,4.801293922,5.72683638,4.800077535,4.889889703,5.032908731,4.903269097,4.858537198,5.14603186,4.844651107,4.738566529,5.038027719,4.853168707,4.857676177,4.659202877,4.921868477,4.994211536,4.931010123,4.088136089,4.806756389,4.896465588,4.777114946,4.878544773,4.779372794,4.892295,4.888802678,4.986494055,4.927416562,4.924511882,4.856547645,4.857199775,4.898895137,4.847954966,4.920749261,4.684612,4.920248585,5.064495427,4.979848726,5.06538549,4.96417946,4.844613842,4.926990317,4.932214937,4.976249075,4.975886546,4.694420914,4.489860084,4.922958887,4.771035996,5.351639794,4.659440782,5.023058939,4.806864805,4.742654445,4.810669282,4.909363442,5.064559063,4.816831009
GO:0005975,3.887729797,4.921514804,4.990809308,4.868074016,4.614179827,5.059608852,4.992469567,4.757949932,4.800105062,4.873151967,4.862340125,4.687653792,4.858049696,4.928795138,4.921785286,5.194392223,4.821533179,5.164156486,4.7202751,4.944477737,5.102028724,4.881453134,4.996717388,4.770247996,4.773647507,4.925296618,4.801952235,4.918638343,4.731306664,4.970950934,4.870380493,4.50758604,4.684342581,4.908511826,4.023046584,4.953416565,4.687243499,4.791121976,4.970198056,4.772475737,5.09752107,4.759290033,4.976171088,4.995679061,4.87397707,4.987532203,4.975964584,4.743525443,3.893151213,4.820017453,4.977124323,4.724152939,4.938664799,4.552096079,4.514507907,4.797392201,4.940645957,4.796095374,4.675494216,4.840382148,4.77845515,4.875986771,4.578776696,4.851276699,4.859864517,4.808143426,4.83105671,4.691099182,5.033833729,4.902198769,4.960822637,4.871660486,4.773574364,4.809532781,4.845253117,4.818766775,4.602895205,4.844613842,5.00561802,4.794460162,5.69256317,4.823232887,4.889604202,5.047847058,4.892473053,4.900427216,5.155339074,4.844483389,4.732031697,5.016544483,4.798374377,4.83773991,4.586024382,4.885564748,5.012415375,4.971382553,4.053654558,4.805092878,4.807040923,4.728264479,4.863976784,4.767430461,4.890415429,4.940008183,4.967669637,4.929163383,4.864048062,4.845792356,4.855809799,4.930179552,4.836077143,4.934321668,4.688526603,4.884976518,4.835106893,4.962331446,5.027724611,4.959456399,4.886107023,4.949238709,4.915204543,4.946196723,4.999348069,4.758230408,4.46292183,4.923187007,4.779711903,5.327945092,4.63384199,5.049113314,4.801547765,4.704913723,4.823121956,4.916738121,5.112537976,4.842852526
GO:0006351,3.834992604,4.789897857,4.974824751,4.924739188,4.685150337,5.016435773,4.914099757,4.687751848,4.695324041,4.854803828,4.79834674,4.716245479,4.887437245,4.876783441,4.878803191,5.181143009,4.734919784,5.094876235,4.712338177,4.930205053,5.081253669,4.792125427,4.929669212,4.729148584,4.736093586,4.909020854,4.814094367,5.00753015,4.700418131,4.971642246,4.815670707,4.509148736,4.79629674,4.840714434,3.99725529,4.911258844,4.733405933,4.6811236,5.007747778,4.633236096,4.960090068,4.791950166,4.926635651,4.910549704,4.759599863,5.040277882,4.969252788,4.799994945,3.82314806,4.841609712,4.936428283,4.72307786,4.829458161,4.532843521,4.536634185,4.723283234,4.847276448,4.788267385,4.668739918,4.833803478,4.740828319,4.836248139,4.627683267,4.787254968,4.788260313,4.731234094,4.853795522,4.715016709,5.000316919,4.825627314,4.923202557,4.898944467,4.731927045,4.830691296,4.889329721,4.861970279,4.651462162,4.84426588,4.93067401,4.680471492,5.789209006,4.783131449,4.882683883,5.005913731,4.866730271,4.860960548,5.048519488,4.837619999,4.677141388,5.069542303,4.852486093,4.737343745,4.47029286,4.926182902,4.963287156,4.940546367,4.05709529,4.812960124,4.694043324,4.762340898,4.758366791,4.777521066,4.806268181,4.90495345,4.864866914,4.903127986,4.887014946,4.82549103,4.837790389,4.872243706,4.795288975,4.903518641,4.610276793,4.771800534,4.888898041,4.871421139,5.026283974,4.919543532,4.832029647,4.874754253,4.931696819,4.974327435,4.959866245,4.733847016,4.424538637,4.86967166,4.715117147,5.253005856,4.711030708,5.005111844,4.797364502,4.732610853,4.761454214,4.886671174,5.131570549,4.744621514
