run IDs,ERR315859,ERR315861,ERR315862,ERR598942,ERR598944,ERR598946,ERR598947,ERR598948,ERR598954,ERR598955,ERR598956,ERR598957,ERR598958,ERR598960,ERR598961,ERR598963,ERR598964,ERR598967,ERR598968,ERR598971,ERR598976,ERR598978,ERR598980,ERR598982,ERR598983,ERR598984,ERR598985,ERR598986,ERR598991,ERR598992,ERR598993,ERR598995,ERR598996,ERR599000,ERR599001,ERR599002,ERR599005,ERR599006,ERR599007,ERR599008,ERR599009,ERR599012,ERR599014,ERR599017,ERR599020,ERR599023,ERR599024,ERR599026,ERR599028,ERR599029,ERR599032,ERR599037,ERR599038,ERR599043,ERR599044,ERR599047,ERR599049,ERR599050,ERR599051,ERR599052,ERR599053,ERR599054,ERR599057,ERR599058,ERR599059,ERR599062,ERR599064,ERR599065,ERR599069,ERR599071,ERR599072,ERR599074,ERR599075,ERR599077,ERR599078,ERR599081,ERR599082,ERR599083,ERR599084,ERR599086,ERR599087,ERR599090,ERR599092,ERR599093,ERR599094,ERR599095,ERR599097,ERR599099,ERR599100,ERR599101,ERR599102,ERR599106,ERR599110,ERR599111,ERR599112,ERR599115,ERR599116,ERR599118,ERR599122,ERR599123,ERR599126,ERR599127,ERR599130,ERR599132,ERR599133,ERR599136,ERR599138,ERR599139,ERR599142,ERR599143,ERR599144,ERR599145,ERR599148,ERR599150,ERR599156,ERR599159,ERR599160,ERR599162,ERR599163,ERR599164,ERR599165,ERR599166,ERR599167,ERR599170,ERR599173,ERR599174,Total
mexf,8,2,1,4,2,6,9,18,2,6,2,1,6,8,1,0,8,6,0,11,1,1,6,0,0,6,21,1,1,1,2,4,4,19,1,3,10,3,3,3,1,3,7,3,5,5,2,7,1,2,10,8,1,9,17,2,1,7,5,5,6,3,1,3,4,5,14,6,0,7,9,5,3,0,0,10,2,2,1,6,7,3,1,0,7,2,6,1,4,3,2,2,3,10,8,17,0,2,5,1,4,7,2,6,5,1,3,6,0,0,1,2,10,1,10,8,2,6,6,5,5,3,3,1,0,5,565
mexb,0,0,0,1,4,4,5,6,1,0,0,1,9,1,0,0,6,0,0,6,0,0,3,0,0,5,13,1,0,2,3,2,3,12,0,1,4,0,2,0,0,1,2,0,3,3,2,1,1,1,6,5,2,3,12,2,1,1,1,1,2,1,0,0,2,0,6,0,0,1,6,5,5,2,0,6,2,3,0,2,1,0,1,0,2,2,1,2,2,1,1,0,1,3,6,14,0,1,1,1,1,4,2,2,4,0,1,2,1,0,0,1,7,0,6,6,0,5,1,1,0,6,2,0,0,1,279
ksga,1,0,1,1,0,3,2,8,0,2,2,2,2,4,1,0,2,2,0,3,0,0,2,1,0,2,11,1,0,1,1,0,2,4,1,1,4,0,3,1,0,0,2,2,4,1,1,1,1,0,4,3,0,2,4,0,0,4,1,0,3,0,0,0,1,1,9,1,0,3,4,1,0,0,0,4,1,0,0,3,2,1,0,0,1,3,1,2,1,0,2,0,1,2,1,5,0,0,3,0,1,2,1,4,3,0,0,1,0,0,0,0,3,0,4,2,0,5,3,2,1,2,2,2,0,3,198
mexw,0,1,2,0,1,4,1,1,0,1,0,3,4,0,2,0,4,0,1,2,0,0,1,0,2,0,3,1,0,1,0,1,2,3,2,0,2,0,0,2,0,0,3,0,1,1,1,2,0,2,1,0,1,1,3,1,0,1,3,6,2,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,0,0,0,1,1,0,0,1,3,2,1,1,2,0,0,0,0,1,2,6,0,0,2,0,1,1,2,0,2,0,0,0,0,1,0,0,0,1,1,2,3,0,0,0,1,2,0,0,0,0,122
acrb,1,0,0,0,1,1,2,4,0,1,1,1,0,4,0,0,1,0,0,2,1,0,3,0,0,3,4,1,0,0,1,1,1,8,0,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,10,2,0,2,1,0,2,2,0,0,0,0,2,0,0,0,3,2,1,0,0,3,0,0,0,0,2,0,1,0,0,1,0,0,2,2,0,0,0,2,1,5,0,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,4,0,2,2,0,6,1,0,2,0,0,0,0,0,122
ceob,1,0,0,1,2,2,2,1,0,2,0,0,2,1,0,0,3,2,1,2,0,0,1,0,0,2,2,0,0,0,1,2,4,4,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,1,4,2,0,1,4,1,0,0,0,1,1,1,0,0,0,1,2,0,0,1,2,2,1,0,0,2,0,4,0,1,0,0,2,0,1,0,0,0,1,1,0,0,0,0,1,7,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,1,101
macb,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,45
catb3,0,0,0,0,1,2,0,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,46
baca,0,0,0,0,4,0,0,1,0,0,1,0,2,1,0,0,4,1,0,0,0,0,3,0,0,0,1,0,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,1,0,2,0,0,0,0,64
oprm,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,39
